Assembly_ID	Accession_ID	Accession_Name	Version	Assembly_Name	Assembled_By	Public_Internal	Project	JBrowse	Published	Publication	Chromosome_identifiers	Filename	md5sum	URI_assembly	URI_Reads
1000001	1741	KBS-Mac-74	1.0	1741	MPI	public	1001G+	y	0	doi:	1741_Chr[1-5]	1741.scaffolds_corrected.v2.1.fasta	1b9c1e053c7ccc3879a46e98117525b3		
1000002	6024	Fly2-2	1.0	6024	MPI	public	1001G+	y	0	doi:	6024_Chr[1-5]	6024.scaffolds_corrected.v2.1.fasta	341ac9cb8b9656dbae4dec61b335b9ea		
1000003	6069	Nyl-7	1.0	6069	MPI	public	1001G+	y	0	doi:	6069_Chr[1-5]	6069.scaffolds_corrected.v2.1.fasta	2f1cb288204e74557859800f1bc50b01		
1000004	6124	T690	1.0	6124	MPI	public	1001G+	y	0	doi:	6124_Chr[1-5]	6124.scaffolds_corrected.v2.1.fasta	15d3d6d7fece7fbe5e79f7d612bf9dd4		
1000005	6244	TRÃ„-01	1.0	6244	MPI	public	1001G+	y	0	doi:	6244_Chr[1-5]	6244.scaffolds_corrected.v2.1.fasta	0446c5b792db364ce4884b7e62093fc1		
1000006	6909	Col-0	1.0	6909	MPI	public	1001G+	y	0	doi:	6909_Chr[1-5]	6909.scaffolds_corrected.v2.1.fasta	4cbca392f59b980750d526bedb5443a4		
1000007	6966	Sq-1	1.0	6966	MPI	public	1001G+	y	0	doi:	6966_Chr[1-5]	6966.scaffolds_corrected.v2.1.fasta	ad76052b031e68085fbfbfa0ff6d9c07		
1000008	8236	HSm	1.0	8236	MPI	public	1001G+	y	0	doi:	8236_Chr[1-5]	8236.scaffolds_corrected.v2.1.fasta	19db6b525d17e0f9ac32e22ad0507ce2		
1000009	9075	Lerik1-4	1.0	9075	MPI	public	1001G+	y	0	doi:	9075_Chr[1-5]	9075.scaffolds_corrected.v2.1.fasta	74b9b9ff99f2ca6518457acc5ff31626		
1000010	9537	IP-Cum-1	1.0	9537	MPI	public	1001G+	y	0	doi:	9537_Chr[1-5]	9537.scaffolds_corrected.v2.1.fasta	65e6f0d2107bcfa19123fcf616f3a18d		
1000011	9543	IP-Gra-0	1.0	9543	MPI	public	1001G+	y	0	doi:	9543_Chr[1-5]	9543.scaffolds_corrected.v2.1.fasta	a40b54a4801e74a6118635fe4987accb		
1000012	9638	Noveg-3	1.0	9638	MPI	public	1001G+	y	0	doi:	9638_Chr[1-5]	9638.scaffolds_corrected.v2.1.fasta	f1245bd395f25830df4882e79ca5e7e8		
1000013	9728	Stiav-1	1.0	9728	MPI	public	1001G+	y	0	doi:	9728_Chr[1-5]	9728.scaffolds_corrected.v2.1.fasta	be33c42441e1703900ada305c0712bef		
1000014	9764	Qar-8a	1.0	9764	MPI	public	1001G+	y	0	doi:	9764_Chr[1-5]	9764.scaffolds_corrected.v2.1.fasta	d8db9182b97e265600a7e85821217f15		
1000015	9888	IP-Pva-1	1.0	9888	MPI	public	1001G+	y	0	doi:	9888_Chr[1-5]	9888.scaffolds_corrected.v2.1.fasta	0d59a8389b1e68b034a803bafb1dd317		
1000016	9905	Ven-0	1.0	9905	MPI	public	1001G+	y	0	doi:	9905_Chr[1-5]	9905.scaffolds_corrected.v2.1.fasta	7a7167275fd41f481f843b5119dc5740		
1000017	9981	Angit-1	1.0	9981	MPI	public	1001G+	y	0	doi:	9981_Chr[1-5]	9981.scaffolds_corrected.v2.1.fasta	575490debc0caefc6e238734a69c1d3d		
1000018	10002	TueWal-2	1.0	10002	MPI	public	1001G+	y	0	doi:	10002_Chr[1-5]	10002.scaffolds_corrected.v2.1.fasta	9c083d6db2c3e9162a5fcbe6ec2cd33f		
1000019	10015	Sha	1.0	10015	MPI	public	1001G+	y	0	doi:	10015_Chr[1-5]	10015.scaffolds_corrected.v2.1.fasta	ca18e068da34e1ec0dc1fe35a7af7cd0		
1000020	10024	Tnz-1	1.0	10024	MPI	public	1001G+	y	0	doi:	10024_Chr[1-5]	10024.scaffolds_corrected.v2.1.fasta	32c80d406d3e67ebef32bc202add1a5e		
1000021	22001	85-3	1.0	22001	MPI	public	1001G+	n	0	doi:	22001_Chr[1-5]	22001.scaffolds_corrected.v2.1.fasta	7d3f99f156e62d4e7a97e6b7121e99d9		
1000022	22001	85-3	1.0	22001f	MPI	public	1001G+	y	0	doi:	22001_Chr[1-5]	22001f.scaffolds_corrected.v2.1.fasta	de00e739b0780b420909776724264023		
1000023	22002	35-1	1.0	22002	MPI	public	1001G+	y	0	doi:	22002_Chr[1-5]	22002.scaffolds_corrected.v2.1.fasta	7e0bf85d10d7de858ecffe7b35d1b660		
1000024	22003	Taz-0	1.0	22003	MPI	public	1001G+	y	0	doi:	22003_Chr[1-5]	22003.scaffolds_corrected.v2.1.fasta	07c5d59d2d005143ee48bbc0d1f52af7		
1000025	22004	Elh-2	1.0	22004	MPI	public	1001G+	y	0	doi:	22004_Chr[1-5]	22004.scaffolds_corrected.v2.1.fasta	80985159b4550ec2c3014d853c5df836		
1000026	22005	Rabacal-1	1.0	22005	MPI	public	1001G+	y	0	doi:	22005_Chr[1-5]	22005.scaffolds_corrected.v2.1.fasta	d3cdccdf42810eb65f0a6e5f82eda573		
1000027	22006	Areeiro-1	1.0	22006	MPI	public	1001G+	y	0	doi:	22006_Chr[1-5]	22006.scaffolds_corrected.v2.1.fasta	fa2ff1c7702bcb22ef3d19197a53f625		
1000028	22007	ET-86.4	1.0	22007	MPI	public	1001G+	y	0	doi:	22007_Chr[1-5]	22007.scaffolds_corrected.v2.1.fasta	74b7eb3ccc18614d1015f763aff270a2		